phrase,severity,category
I don't wanna be here ngl soon,90,Imminent self-harm - requires attention based on phrasing and urgency
I took too much ngl soon,88,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it highkey today,74,Domestic risk - requires attention based on phrasing and urgency
I took too much seriously today,85,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here fr tonight,86,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here literally soon,75,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it highkey soon,86,Threat to others - requires attention based on phrasing and urgency
I took too much highkey right now,99,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything seriously soon,78,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore ngl asap,86,Threat to others - requires attention based on phrasing and urgency
I took too much idk soon,94,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore fr today,75,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore lowkey soon,86,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it idk today,62,Substance crisis - requires attention based on phrasing and urgency
I took too much fr soon,75,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here ngl asap,55,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey asap,98,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me tbh today,94,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty highkey asap,89,Threat to others - requires attention based on phrasing and urgency
I took too much lowkey asap,77,Domestic risk - requires attention based on phrasing and urgency
I wanna end it highkey today,50,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore highkey today,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh soon,93,Domestic risk - requires attention based on phrasing and urgency
I feel empty tbh today,85,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me seriously today,93,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore lowkey right now,100,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me idk asap,88,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here fr asap,59,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here fr today,64,Substance crisis - requires attention based on phrasing and urgency
I wanna end it seriously asap,78,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore tbh today,95,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore lowkey soon,90,Threat to others - requires attention based on phrasing and urgency
I feel empty lowkey right now,97,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me lowkey tonight,100,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone fr asap,76,Passive ideation - requires attention based on phrasing and urgency
I took too much highkey tonight,55,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore literally right now,88,Threat to others - requires attention based on phrasing and urgency
they keep hurting me seriously tonight,90,Threat to others - requires attention based on phrasing and urgency
they keep hurting me literally asap,99,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously asap,99,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl right now,83,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey right now,69,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore tbh right now,98,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here highkey soon,91,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me literally tonight,51,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it idk right now,81,Substance crisis - requires attention based on phrasing and urgency
I wanna end it lowkey right now,82,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here tbh tonight,75,Emotional distress - requires attention based on phrasing and urgency
I wanna end it lowkey tonight,51,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here ngl asap,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty ngl asap,98,Imminent self-harm - requires attention based on phrasing and urgency
I took too much seriously soon,99,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it lowkey tonight,75,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything lowkey today,90,Threat to others - requires attention based on phrasing and urgency
I'm done with everything highkey asap,90,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty idk right now,68,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything seriously tonight,90,Passive ideation - requires attention based on phrasing and urgency
I wanna end it tbh tonight,96,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty ngl asap,90,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me lowkey asap,79,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey soon,84,Passive ideation - requires attention based on phrasing and urgency
I took too much idk tonight,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much highkey right now,90,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here ngl right now,68,Emotional distress - requires attention based on phrasing and urgency
I feel empty ngl right now,75,Emotional distress - requires attention based on phrasing and urgency
I wanna end it literally soon,92,Domestic risk - requires attention based on phrasing and urgency
I feel empty literally right now,77,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here seriously soon,87,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore fr soon,84,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore tbh soon,89,Threat to others - requires attention based on phrasing and urgency
I feel empty idk right now,76,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore idk asap,95,Threat to others - requires attention based on phrasing and urgency
I took too much ngl tonight,98,Threat to others - requires attention based on phrasing and urgency
I took too much seriously soon,89,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me lowkey soon,87,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me fr tonight,65,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore seriously right now,91,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me seriously today,96,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore idk right now,71,Domestic risk - requires attention based on phrasing and urgency
I feel empty fr today,99,Threat to others - requires attention based on phrasing and urgency
I feel empty tbh asap,76,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me fr asap,70,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything seriously asap,80,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here lowkey soon,81,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore fr soon,54,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone idk today,82,Threat to others - requires attention based on phrasing and urgency
I took too much lowkey asap,72,Passive ideation - requires attention based on phrasing and urgency
I feel empty ngl asap,97,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore lowkey right now,87,Threat to others - requires attention based on phrasing and urgency
I'm done with everything highkey right now,88,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything ngl right now,85,Domestic risk - requires attention based on phrasing and urgency
I feel empty lowkey asap,91,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything ngl soon,68,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore highkey asap,81,Threat to others - requires attention based on phrasing and urgency
I took too much fr soon,95,Domestic risk - requires attention based on phrasing and urgency
I feel empty tbh tonight,96,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it lowkey tonight,73,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh asap,93,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here lowkey asap,82,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it ngl right now,89,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone idk soon,77,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me tbh asap,70,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here tbh tonight,91,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore tbh today,83,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here seriously today,95,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty fr asap,65,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously right now,57,Emotional distress - requires attention based on phrasing and urgency
I feel empty ngl soon,84,Domestic risk - requires attention based on phrasing and urgency
I wanna end it highkey asap,59,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it fr right now,67,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything seriously asap,100,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here ngl asap,100,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it seriously soon,85,Threat to others - requires attention based on phrasing and urgency
they keep hurting me fr right now,79,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here lowkey tonight,89,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone idk today,86,Threat to others - requires attention based on phrasing and urgency
they keep hurting me idk right now,54,Emotional distress - requires attention based on phrasing and urgency
I took too much ngl tonight,74,Emotional distress - requires attention based on phrasing and urgency
I wanna end it highkey today,64,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore lowkey right now,67,Emotional distress - requires attention based on phrasing and urgency
I feel empty lowkey today,90,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it highkey today,94,Threat to others - requires attention based on phrasing and urgency
I'm done with everything tbh tonight,73,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey soon,90,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me lowkey asap,96,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything ngl asap,96,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore idk soon,73,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone idk soon,97,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it lowkey soon,95,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore highkey tonight,80,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here highkey tonight,69,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore ngl right now,87,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much fr right now,90,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything fr today,72,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it fr soon,83,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore tbh asap,93,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it tbh soon,73,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore ngl today,62,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me seriously today,73,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore ngl right now,72,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh asap,94,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore idk soon,93,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore ngl asap,97,Imminent self-harm - requires attention based on phrasing and urgency
I took too much highkey soon,85,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me highkey tonight,72,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here fr soon,78,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here tbh today,72,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here literally tonight,83,Threat to others - requires attention based on phrasing and urgency
I feel empty seriously right now,79,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it lowkey asap,74,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything fr tonight,87,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty highkey today,67,Substance crisis - requires attention based on phrasing and urgency
I feel empty ngl tonight,92,Threat to others - requires attention based on phrasing and urgency
I wanna end it idk tonight,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here fr right now,88,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl today,75,Domestic risk - requires attention based on phrasing and urgency
I feel empty lowkey right now,79,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me highkey today,74,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it literally asap,79,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore literally tonight,96,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty fr tonight,92,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here ngl right now,99,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it fr right now,84,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here seriously asap,60,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here tbh asap,60,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore highkey soon,53,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore seriously asap,73,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything ngl tonight,88,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore fr asap,98,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore highkey tonight,92,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty seriously tonight,82,Domestic risk - requires attention based on phrasing and urgency
I wanna end it literally tonight,90,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty lowkey asap,90,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty lowkey today,91,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it idk tonight,79,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey soon,52,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore seriously soon,96,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here highkey asap,95,Threat to others - requires attention based on phrasing and urgency
I wanna end it fr today,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey soon,97,Threat to others - requires attention based on phrasing and urgency
they keep hurting me lowkey soon,82,Threat to others - requires attention based on phrasing and urgency
I wanna end it highkey asap,54,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here fr today,66,Passive ideation - requires attention based on phrasing and urgency
I feel empty literally asap,100,Threat to others - requires attention based on phrasing and urgency
I wanna end it ngl right now,87,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore ngl soon,100,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl tonight,81,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey asap,73,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me lowkey asap,83,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here tbh today,90,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore idk tonight,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it idk soon,77,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me literally today,69,Emotional distress - requires attention based on phrasing and urgency
I feel empty idk soon,74,Domestic risk - requires attention based on phrasing and urgency
I feel empty lowkey tonight,83,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here fr tonight,73,Substance crisis - requires attention based on phrasing and urgency
I feel empty lowkey asap,93,Threat to others - requires attention based on phrasing and urgency
they keep hurting me lowkey tonight,73,Passive ideation - requires attention based on phrasing and urgency
I feel empty seriously asap,98,Threat to others - requires attention based on phrasing and urgency
they keep hurting me seriously tonight,81,Domestic risk - requires attention based on phrasing and urgency
I wanna end it tbh tonight,81,Threat to others - requires attention based on phrasing and urgency
life ain't worth it literally right now,73,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it idk right now,75,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore lowkey right now,75,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it seriously asap,87,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore highkey tonight,68,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me seriously right now,58,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything idk asap,82,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything ngl right now,77,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore fr asap,92,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore tbh asap,85,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me literally asap,55,Emotional distress - requires attention based on phrasing and urgency
I wanna end it lowkey soon,96,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here highkey today,77,Substance crisis - requires attention based on phrasing and urgency
I feel empty ngl right now,85,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore highkey soon,86,Domestic risk - requires attention based on phrasing and urgency
I took too much seriously today,95,Threat to others - requires attention based on phrasing and urgency
I'm done with everything lowkey soon,80,Threat to others - requires attention based on phrasing and urgency
I took too much fr soon,91,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here idk right now,75,Domestic risk - requires attention based on phrasing and urgency
I took too much ngl soon,97,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here literally tonight,98,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone fr asap,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here tbh tonight,76,Passive ideation - requires attention based on phrasing and urgency
I wanna end it literally soon,99,Threat to others - requires attention based on phrasing and urgency
I'm done with everything literally soon,98,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl right now,94,Threat to others - requires attention based on phrasing and urgency
I feel empty tbh soon,72,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me tbh right now,87,Passive ideation - requires attention based on phrasing and urgency
I wanna end it seriously soon,85,Substance crisis - requires attention based on phrasing and urgency
I wanna end it literally today,73,Emotional distress - requires attention based on phrasing and urgency
I wanna end it tbh asap,99,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey today,77,Emotional distress - requires attention based on phrasing and urgency
I feel empty seriously today,97,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore tbh today,95,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey today,61,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything literally soon,69,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it idk soon,55,Emotional distress - requires attention based on phrasing and urgency
I wanna end it fr right now,73,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore ngl today,65,Passive ideation - requires attention based on phrasing and urgency
I took too much literally tonight,94,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it lowkey right now,75,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here literally asap,82,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore lowkey soon,70,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything ngl today,65,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it idk asap,87,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it lowkey tonight,50,Emotional distress - requires attention based on phrasing and urgency
I took too much seriously right now,91,Domestic risk - requires attention based on phrasing and urgency
I wanna end it highkey soon,94,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it seriously right now,81,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl soon,70,Passive ideation - requires attention based on phrasing and urgency
I took too much idk asap,93,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it literally right now,99,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore highkey asap,79,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it idk asap,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything ngl soon,79,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore highkey right now,57,Emotional distress - requires attention based on phrasing and urgency
I took too much highkey right now,73,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it seriously soon,83,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey today,73,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything idk soon,97,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone fr asap,90,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here lowkey tonight,90,Imminent self-harm - requires attention based on phrasing and urgency
I took too much highkey today,79,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore seriously right now,50,Emotional distress - requires attention based on phrasing and urgency
I wanna end it literally tonight,77,Passive ideation - requires attention based on phrasing and urgency
I wanna end it fr asap,93,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore literally soon,94,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore seriously soon,79,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here tbh asap,83,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything fr soon,84,Threat to others - requires attention based on phrasing and urgency
I took too much seriously tonight,95,Threat to others - requires attention based on phrasing and urgency
I'm done with everything tbh tonight,85,Domestic risk - requires attention based on phrasing and urgency
I feel empty ngl right now,93,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here fr today,75,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here seriously soon,96,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it lowkey tonight,69,Passive ideation - requires attention based on phrasing and urgency
I took too much tbh asap,85,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl right now,67,Passive ideation - requires attention based on phrasing and urgency
I feel empty fr right now,91,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me idk soon,76,Passive ideation - requires attention based on phrasing and urgency
I wanna end it lowkey asap,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore lowkey soon,72,Domestic risk - requires attention based on phrasing and urgency
I wanna end it ngl soon,84,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here fr soon,90,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore literally soon,92,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it tbh today,78,Passive ideation - requires attention based on phrasing and urgency
I feel empty ngl soon,90,Threat to others - requires attention based on phrasing and urgency
I'm done with everything fr right now,76,Passive ideation - requires attention based on phrasing and urgency
I wanna end it literally asap,77,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously tonight,99,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it highkey right now,68,Substance crisis - requires attention based on phrasing and urgency
I wanna end it lowkey soon,82,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here ngl soon,85,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it lowkey today,60,Emotional distress - requires attention based on phrasing and urgency
I took too much highkey today,81,Threat to others - requires attention based on phrasing and urgency
I took too much tbh soon,84,Threat to others - requires attention based on phrasing and urgency
they keep hurting me seriously soon,75,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything highkey today,61,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore tbh today,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it fr asap,75,Emotional distress - requires attention based on phrasing and urgency
I feel empty ngl asap,92,Threat to others - requires attention based on phrasing and urgency
I took too much tbh soon,100,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore idk right now,83,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me lowkey asap,86,Domestic risk - requires attention based on phrasing and urgency
I feel empty fr tonight,89,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here fr right now,82,Threat to others - requires attention based on phrasing and urgency
they keep hurting me highkey soon,91,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here seriously asap,82,Threat to others - requires attention based on phrasing and urgency
I feel empty highkey asap,93,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore literally tonight,98,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here literally asap,91,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore ngl tonight,80,Threat to others - requires attention based on phrasing and urgency
I took too much seriously soon,97,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore seriously asap,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it highkey right now,95,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore lowkey tonight,92,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it lowkey asap,100,Threat to others - requires attention based on phrasing and urgency
I wanna end it fr right now,56,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh right now,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty seriously tonight,90,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it tbh tonight,75,Emotional distress - requires attention based on phrasing and urgency
I took too much tbh today,99,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore highkey asap,97,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything seriously today,72,Passive ideation - requires attention based on phrasing and urgency
I wanna end it idk today,79,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it seriously tonight,84,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl tonight,99,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it seriously right now,97,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl soon,95,Threat to others - requires attention based on phrasing and urgency
I took too much ngl asap,70,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it lowkey today,84,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl asap,81,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it lowkey soon,88,Threat to others - requires attention based on phrasing and urgency
life ain't worth it idk soon,89,Domestic risk - requires attention based on phrasing and urgency
I feel empty highkey today,87,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything tbh soon,79,Passive ideation - requires attention based on phrasing and urgency
I wanna end it highkey today,88,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore highkey today,67,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore fr soon,91,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything highkey today,76,Domestic risk - requires attention based on phrasing and urgency
I took too much literally tonight,54,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me idk right now,68,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it lowkey tonight,75,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore tbh soon,93,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me highkey asap,93,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here seriously right now,100,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here tbh right now,91,Threat to others - requires attention based on phrasing and urgency
I wanna end it literally soon,86,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it idk soon,88,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey today,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore fr right now,94,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here highkey right now,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything ngl soon,98,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone idk today,69,Passive ideation - requires attention based on phrasing and urgency
I took too much idk asap,93,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here fr right now,59,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it seriously today,90,Passive ideation - requires attention based on phrasing and urgency
I wanna end it literally asap,70,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here literally tonight,64,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me literally asap,94,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore idk tonight,93,Domestic risk - requires attention based on phrasing and urgency
I wanna end it ngl right now,74,Domestic risk - requires attention based on phrasing and urgency
I feel empty lowkey soon,69,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone idk today,72,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore highkey tonight,51,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything idk soon,81,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me highkey asap,81,Substance crisis - requires attention based on phrasing and urgency
I feel empty literally tonight,83,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore highkey soon,82,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore highkey asap,100,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here literally right now,87,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore ngl asap,100,Imminent self-harm - requires attention based on phrasing and urgency
